german;english;level;example;example_en;rank
das Ministerium;ministry;C1;Verlag des Ministeriums für Nationale Verteidigung;Publishing house of the Ministry for National Defense;5132
der Schnurrbart;moustache;C1;Tom kann sich noch keinen Schnurrbart wachsen lassen.;Tom can't grow a moustache yet.;5133
der Haushalt;household|budget|housework|balance;C1;Eine moderne Windkraftanlage mit 3 MW Leistung erzeugt soviel Strom, wie 2.000 Haushalte benötigen.;A modern 3 MW wind turbine generates as much electricity as 2.000 households require.;5134
fluten;to flood;C1;Der Fluss hat ein großes Gebiet geflutet.;The river flooded a large area.;5135
das Schuldgefühl;guilt|feeling of guilt|guilt pang;C1;Er blieb nur aus Schuldgefühlen bei ihr.;He just stayed with her out of guilt.;5136
haushalten;to be economical or thrifty;C1;Eine Hausfrau sollte gut haushalten können.;A housewife should be economical.;5137
rumlaufen;to walk around;C1;Du bist echt der größte Arsch, der rumläuft.;You sure are the biggest jerk in the world.;5138
das Rauschen;a murmur|noise|sough|whoosh;C1;Von hier aus kann man das Rauschen des Meeres vernehmen.;The sea can be heard from here.;5139
das Insekt;insect;C1;Professor Kay hat Insekten 40 Jahre lang untersucht.;Professor Kay has been studying insects for forty years.;5140
die Qual;agony|anguish|torment|torture;C1;In der Stunde ihres Todes erleidet sie Qualen.;At the time of her death, she suffers agony.;5141
der Anker;anchor;C1;Ich trage am rechten Arm einen tätowierten Anker.;I have a tattoo of an anchor on my right arm.;5142
die Masse;mass|matter|ground;C1;eher Masse als Klasse;quantity rather than quality;5143
die Debatte;debate;C1;Er versuchte vergebens, ihre hitzige Debatte zu beenden.;He tried in vain to put an end to their heated discussion.;5144
rauschen;to rustle|to crackle|to whiz|to fizz|to rush|to race;C1;Zwischen moosbewachsenen Bäumen rauschte ein kleiner Waldbach dahin.;A small forest brook flowed between the moss-covered trees.;5145
ankern;to anchor;C1;Das Boot ankerte nahe der Küste.;The boat anchored near the shore.;5146
schimmern;to glimmer|to shimmer;C1;Das Licht schimmerte auf dem Wasser.;The light glinted off the water.;5147
die Spezialität;speciality;C1;Seine Spezialität ist frischer Fisch in Salzkruste zubereitet.;His speciality is fresh fish prepared with a coating of salt.;5148
die Rückseite;back|reverse side;C1;Er ließ die Vorderseite und die Rückseite abstempeln.;He had the front and back stamped.;5149
der Schimmer;gleam|glimmer|flicker|clue;C1;Ich habe keinen Schimmer, worüber Tom gesprochen hat.;I have no idea what Tom was talking about.;5150
glotzen;to stare|to gape|to gawk|to goggle;C1;Tom stand da und glotzte wie ein Mondkalb.;Tom just stood there staring like an idiot.;5151
der Mordfall;murder case;C1;Der Mordfall ist nach wie vor ein Rätsel.;The murder remains a mystery.;5152
die Zeitschrift;magazine|periodical;C1;Wie viele Zeitschriften befinden sich auf dem Tisch?;How many magazines are on the desk?;5153
die Wildnis;wilderness;C1;Könntest du allein in der Wildnis überleben?;Could you survive alone in the wilderness?;5154
gestresst;stressed;C1;Weil die so inkompetent sind, bin ich total gestresst.;I'm stressed out over their incompetence.;5155
behindern;to hinder|to impede|to obstruct;C1;Er hat versucht, eine offizielle Untersuchung zu behindern.;He has tried to impede an official investigation.;5156
behindert;disabled|handicapped|retarded|stupid|dumb|bad;C1;Die ganze Situation ist so behindert, Mann!;The whole situation is so messed up, man!;5157
der Schlamassel|das Schlamassel;trouble|difficult situation|misfortune;C1;Wie kommt Tom aus dem Schlamassel wieder heraus?;How will Tom get out of that mess?;5158
überbringen;to deliver;C1;Tom überbrachte sowohl gute, als auch schlechte Nachrichten.;Tom was the bearer of both good and bad news.;5159
reinziehen;to consume|to inhale|to down;C1;Ich habe mir gestern gleich die ganze Staffel reingezogen.;I just watched the whole season yesterday.;5160
die Abstimmung;vote|co-ordination|synchronising|agreement;C1;Die Abstimmung hat mal wieder nicht geklappt.;Again, co-ordination didn’t work.;5161
der Senat;senate;C1;Tom wurde 2008 in den Senat gewählt.;Tom was elected to the Senate in 2008.;5162
mittags;at midday;C1;Käse ist morgens Gold, mittags Silber, abends Blei.;Cheese is gold in the morning, silver at noon, and lead in the evening.;5163
zusätzlich;additional|extra|supplementary|ancillary|additionally|in addition;C1;Das Unternehmen muss nun die zusätzlichen Kosten bezahlen.;The company must now pay the additional costs.;5164
die Jahreszeit;season|time of year;C1;Haikus haben einen starken Bezug zu den Jahreszeiten.;Haiku are closely related to the seasons of the year.;5165
die Want;shroud;C1;;;5166
veranstalten;to organize|to arrange|to stage;C1;Die Gruppe veranstaltet Konzerte mit berühmten Opernsängern.;The group organizes concerts with famous opera singers.;5167
überflüssig;superfluous|extraneous|redundant|spare|dispensable|superfluously;C1;Erachte jegliche Kunstkritik als überflüssig und gefährlich.;Regard all art critics as useless and dangerous.;5168
das Taschentuch;handkerchief|tissue|paper handkerchief;C1;Man fand unter anderem Regenschirme, Schuhe und Taschentücher.;Among the things found were umbrellas, shoes, and handkerchiefs.;5169
beschleunigen;to accelerate;C1;Der Schlitten beschleunigte, als er den vereisten Abhang hinunterrutschte.;The sled accelerated as it went down the icy slope.;5170
die Rockmusik;rock music;C1;Was magst du lieber, Rockmusik oder klassische Musik?;Which do you like better, rock music or classical music?;5171
seither;since then;C1;Übrigens, haben Sie seither etwas von ihr gehört?;By the way, have you heard from her since then?;5172
der Christ;a Christian;C1;Die frühen Christen wurden vom Römischen Reich verfolgt.;Early Christians were persecuted by the Roman Empire.;5173
überqueren;to cross|to traverse;C1;Wir haben diesen See mit einem Boot überquert.;We crossed the lake in a boat.;5174
die Kreuzung;crossing|intersection|crossbreeding|crossbreed;C1;Biege an der nächsten Kreuzung nach rechts ab.;Turn right at the next crossing.;5175
hereinlegen;to lay down inside|to put|to trick|to pull someone's leg;C1;Tom hat Mary am 1. April richtig hereingelegt.;Tom got Mary good on April Fools' Day.;5176
die Bucht;bay|gulf|bight|niche;C1;Sie segelten an die entlegene Bucht der Insel.;They sailed to the island's secluded cove.;5177
saufen;to drink|to especially in large quantities|to quaff|to swig|to booze|to consume alcohol excessively;C1;Höre auf zu saufen! Du bist ja süchtig!;Stop drinking! You are addicted!;5178
der Bildschirm;screen|monitor|display;C1;Siehst du oben auf dem Bildschirm die Menüleiste?;Can you see the menu bar at the top of the screen?;5179
die Eminenz;eminence;C1;;;5180
die Mailbox;mailbox|voice mailbox;C1;Ich checke meine Mailbox.;I am checking my mailbox.;5181
das Attentat;attack|assassination;C1;Lincoln fiel im Jahre 1865 einem Attentat zum Opfer.;Lincoln was assassinated in 1865.;5182
zischen;to hiss|to sizzle|to whiz;C1;Über mich weg zischte ein Schrapnell.;A shrapnel whizzed over me.;5183
die Verschwendung;waste;C1;Es ist eine Verschwendung, das Land brach liegen zu lassen.;It's wasteful to leave the land lying idle.;5184
die Ähnlichkeit;similarity|resemblance;C1;Er hat eine Ähnlichkeit mit dem Kanzler.;He bears a resemblance to the chancellor.;5185
das Geschirr;dishware|harness;C1;Ihre Arbeit besteht darin, das Geschirr zu spülen.;Her work is to wash the dishes.;5186
entwischen;to escape;C1;Er ist im Schutz der Dunkelheit entwischt.;He escaped under cover of darkness.;5187
der Bon;voucher;C1;Wollen Sie den Bon?;Do you want the receipt?;5188
schwitzen;to sweat|to perspire|to give off water|to think hard|to work hard|to be in fear;C1;Es ist das erste Mal, dass ich so schwitze!;This is the first time I've ever sweated so much.;5189
der Vorname;given name;C1;Ulrike ist ein schöner deutscher und weiblicher Vorname.;Ulrike is a beautiful German and female first name.;5190
das Eichhörnchen;squirrel;C1;Das Geheimnis des blauen Eichhörnchens;The Secret of the Blue Squirrel;5191
unterschätzen;to underestimate;C1;Sie neigt dazu, ihre eigenen Fähigkeiten zu unterschätzen.;She tends to underestimate her own ability.;5192
annähern;to approximate;C1;Goethes persönlicher Wortschatz umfasste annähernd achtzigtausend Wörter.;Goethe's personal vocabulary consisted of about eighty thousand words.;5193
das Gewebe;fabric|cloth|tissue|stuff|weave|mesh;C1;Tom schnitt das Gewebe sorgfältig mit der Schere ab.;Tom carefully cut the fabric with a pair of scissors.;5194
annähernd;approximately;C1;Der Baum ist annähernd so hoch wie das Dach.;The tree is about as high as the roof.;5195
die Lesbe;lesbian;C1;Ich liebe sie, nur ist sie eine Lesbe.;I love her, but she's a lesbian.;5196
pokern;to play poker|to push one's luck|to gamble;C1;Bei der Gehaltsverhandlung hatte er zu hoch gepokert und muss sich jetzt einen neuen Job suchen.;He pushed his luck too far during the salary negotiation, and now has to look for a new job.;5197
niedrig;low;C1;Die Kriminalitätsrate war seit Jahrzehnten nicht so niedrig.;Crime rates are the lowest they've been in decades.;5198
schleichen;to move slowly|to slink away|to leave meekly or sheepishly;C1;Was schleicht der da so?;Why’s that guy driving so slowly?;5199
die Klimaanlage;air conditioner;C1;Heutzutage können die Leute nicht leben ohne Klimaanlage.;Without an air conditioner, people nowadays cannot live.;5200
das Höschen;panties|knickers;C1;Unter dem Rock trug sie ein rosa Höschen.;She was wearing pink panties under the skirt.;5201
der Strass;rhinestone|paste;C1;Mein Onkel hat einen Laden hier in der Strasse.;My uncle has a store along the street.;5202
sinken;to sink|to submerge|to set|to fall from the sky|to fall|to drop;C1;Die Sonne ist gesunken.;The sun has set.;5203
der Vulkan;volcano;C1;Der Kilimandscharo ist ein schlafender Vulkan in Tansania.;Mount Kilimanjaro is a dormant volcano located in Tanzania.;5204
der Abgrund;abyss|precipice;C1;Zwischen mir und meinem Bewusstsein ist ein Abgrund.;Between me and my consciousness is an abyss.;5205
lesbisch;lesbian;C1;Sie hat sich vor kurzem als lesbisch geoutet.;She recently came out as a lesbian.;5206
die Zeichnung;drawing|subscription;C1;Ist das ein Bild von seiner eigenen Zeichnung?;Is this a picture of his own drawing?;5207
platzieren;to place|to plant;C1;Wir platzierten uns in den Stühlen neben dem Ausgang.;We situated ourselves in the seats nearest the exit.;5208
platziert;placed|seated;C1;Das Observatorium ist gut platziert.;That observatory stands in a good location.;5209
die Abreise;departure;C1;Wir schoben unsere Abreise wegen des Sturmes auf.;We put off our departure owing to the storm.;5210
abreisen;to leave|to depart;C1;Ich weiß nicht, wann Tom nach Japan abreist.;I don't know when Tom is leaving for Japan.;5211
passend;suitable|fitting|matching;C1;Tom stellte die Teetasse auf eine passende Untertasse.;Tom placed the teacup on a matching saucer.;5212
die Mittagspause;lunchbreak|lunch hour;C1;Das Geschäft ist ohne Mittagspause durchgehend geöffnet.;The shop doesn't close for lunch.;5213
der Wettkampf;contest;C1;Krocketspieler müssen während eines Wettkampfes weiße Kleidung tragen.;Croquet players must wear white clothing during play.;5214
verschlucken;to swallow|to swallow up;C1;Das Baby hat einen Kirschkern verschluckt.;The baby swallowed a cherry stone.;5215
die Trommel;drum;C1;Schlag nicht die Trommel. Schlag den Trommler.;Do not beat the drum. Beat the drummer.;5216
überwältigen;to overwhelm|to subdue|to overpower|to dazzle|to impress|to astonish;C1;Er war von der Intensität ihrer Liebe überwältigt.;He was overwhelmed by the intensity of her love.;5217
benennen;to name|to give a name to|to call|to designate|to denominate|to nominate;C1;Du musst dein neu erfundenes Gericht noch benennen.;You still have to name your newly invented dish.;5218
trommeln;to drum|to beat a drum;C1;Er trommelte mit den Fingern auf dem Lenkrad.;He drummed his fingers on the steering wheel.;5219
beneiden;to envy|to begrudge someone something;C1;Ich beneide die Leute im Weißen Haus nicht.;I do not envy the people at the White House.;5220
turteln;to coo|to flirt;C1;Tom wollte nicht, dass man dächte, er turtele mit Maria.;Tom didn't want people to think that he was flirting with Mary.;5221
fortsetzen;to continue with something;C1;Er setzt sein Studium in Berlin fort.;He is continuing his studies in Berlin.;5222
der Nachname;last name|surname;C1;Wie war Marias Nachname, bevor sie geheiratet hat?;What was Mary's last name before she got married?;5223
altmodisch;outdated|old-fashioned|antiquated|outmoded|old-timey|vintage;C1;Die meisten Menschen betrachten Jazz zurzeit als altmodisch.;Most people nowadays consider jazz to be old-fashioned.;5224
anpassen;to adapt|to adjust|to adapt to|to adjust to;C1;Der Preis wird entsprechend der Wechselkurse angepasst.;The price is adjusted according to exchange rates.;5225
das Feuerzeug;lighter;C1;Vergessen Sie nicht Ihre Zigaretten und Ihr Feuerzeug!;Don't forget your cigarettes and lighter.;5226
der Alkoholiker;alcoholic;C1;Tom hat gesagt, dass er selbst Alkoholiker sei.;Tom said that he himself was an alcoholic.;5227
der Serienmörder;serial killer;C1;Jeder Serienmörder war einmal jemandes Baby.;Every serial killer was somebody's baby once.;5228
das Element;element|essential component|force of nature|the elements|a person;C1;Die Elemente schienen sich gegen die Schiffsbesatzung verschworen zu haben.;The elements seemed to have conspired against the ship’s crew.;5229
der Rückweg;way back;C1;Soll ich auf dem Rückweg das Auto nehmen?;Shall I drive on the way back?;5230
die Menschlichkeit;humanity;C1;Seine Menschlichkeit lässt sich nicht mit deiner vergleichen.;His humanness is not to be compared with yours.;5231
der Heimweg;way home;C1;Ich gehe auf dem Heimweg am Postamt vorbei.;I'll drop by the post office on the way home.;5232
schwingen;to swing|to move by swinging|to wave|to brandish;C1;Sie schwingt auf einer Schaukel.;She is swinging on a swing.;5233
geheimnisvoll;mysterious|cryptic|arcane|enigmatic|secretive;C1;In der Pyramide wurde eine geheimnisvolle Kammer entdeckt.;A mysterious chamber has been discovered inside the pyramid.;5234
die Schwinge;wing|swingarm|remex;C1;;;5235
das Pulver;powder|money;C1;Der Polizist fand im Handschuhfach ein weißes Pulver.;The police officer found a white powder in the glove compartment.;5236
der Geschäftsführer;managing director;C1;Tom überredete den Geschäftsführer, ihm sein Geld zurückzugeben.;Tom persuaded the store manager to give him back his money.;5237
